ZEB 102	Introductory Zoology	2
ZEB 122	Parasitology for Medical Students	2	
ZEB 172	Introductory Environmental Biology	2	
ZEB 202	General Invertebrate Zoology II	2	
ZEB 272	Environmental Health Biology	2	
ZEB 276	Ecotoxicology and Environmental Safety	2	
ZEB 312	Basic Physiology Practical	2	
ZEB 402	Ethology	2	
ZEB 404	Small Animal Production	2
ZEB 412	Animal Physiology II	2
ZEB 422	Animal Parasitology	2
ZEB 432	Entomology II	2
ZEB 442	Fisheries Biology II	2
ZEB 452	Animal Ecology	2	
ZEB 454	Animal Biodiversity Management and Prospecting	2
ZEB 462	Animal Molecular Biology and Bioinformatics	2
ZEB 464	Advanced Animal Biotechnology II	2
ZEB 468	Population Genetics	2	
ZEB 472	Environmental Impact Assessment	2	
ZEB 490	Research Project	6	
PHY    101                  General Physics for Life Sciences I                                        2
PHY    191                  Practical Physics                                                                        2
BIO     151                  General Biology I                                                                       3
MTH   111                  Elementary Mathematics I                                                      3
GSP     101                  The Use of English I                                                                  2
GSP     103                  Social Sciences I                                                                        2
AGR   201                  Introduction to Agriculture                                                    3
 FVM   192                  Basics to Veterinary Medicine                                                2
CHM   112                  Basic Principles of Chemistry II                                             2
CHM   122                  Basic Principles of Chemistry III                                           2
BIO     152                  General Biology II                                                                     3
BIO     153                  General Biology (Practical)                                                     2
PHY    102                  General Physics for Life Sciences II                                      2
PHY    103                  General Physics for Life Sciences III                                     2
GSP     102                  The Use of English II                                                               2
GSP     104                  Social Sciences II                                                                      2
VAN   201                  Introductory Veterinary Anatomy                                                     5
VPP     211                  Introductory Physiology, Blood, Cardiovascular
VPP     213                  Introductory Veterinary Biochemistry                                              4
GSP     101                  Use of English I (Direct Entry Students)                                           2
GSP     207                  Humanities I                                                                                           2
COS    101                  Introduction to Computer Science                                                      2
VAN   202                  Basic Splanchnology                                                                          6
VAN   204                  Veterinary Embryology                                                                     4
VPP     214                  General Veterinary Biochemistry                                                   4
VPP     212                  Neuromuscular Systems, Sense Organs, and Environmental Physiology                                                                                                     4
GSP     102                  The Use of English II (Direct Entry Students)                             2
GSP     208                  Humanities II                                                                                     2
VAN   301                  Veterinary Histology                                                                         4
VPP     311                  Veterinary Biochemistry of body fluid                                         4
VPP     313                  Renal Function and Body fluid, Reproduction and Endocrinology                                                                                                                        4
AHP    331                  General Principles of Animal Production, Genetics and Breeding                                                                                                                          3
AGE    201                  Principles of Agricultural Economics (DE)                                 4
BED    101                  Elements of business                                                                        2
VPP     312                  General Veterinary Pharmacology                                                 3
AHP    332                  Principles of Animal Nutrition in Health                                    3
VPM   342                  General Veterinary Microbiology                                                 3
VPE    352                  Veterinary Helminthology 1                                                           3
VPM   344                  General Veterinary Pathology                                                       5
VPM   346                  General Veterinary                                                                         2
VPP     411                  Systemic Veterinary Pharmacology                                               2
AHP   431                 Small Ruminant and Micro livestock Health & Management                                                                                                                          3
VPM   441                  Veterinary                                                                                           2
VPM   443                  Veterinary Mycology                                                                        2
VPM   445                  Veterinary Virology                                                                         2
VPE    451                  Veterinary Helminthology II                                                         4
VPE    453                  Veterinary Entomology                                                                  2
VPE    455                  Veterinary Protozoology                                                                2
VPM   447                  Pathology of the Haematopoietic, Cardiovascular, Respiratory and Sensory Systems                                                                                   2
VPE    457                  Parasitic Immunology                                                                   2
VPP     412                  Veterinary Chemotherapy                                                                2
VPP     414                  Veterinary Toxicology                                                                       2
AHP   432                              Large Ruminant Health & Management                          2
VPM   442                  Pathology of the Digestive and Urinogenital systems               2
VPM   444                  Pathology of the Integumentary, Musculoskeletal, and Nervous Systems                                                                                                                     2
VPM   446                  Pathology of Bacterial, Viral, and, Poultry diseases                  2
VPM   448                  Pathology of Fungal, Protozoan, Parasitic, Nutritional, Metabolic and Endocrine Diseases                                                                                    2
VMD   462                  Introduction to Medicine/Diagnostic                                        2
VSR    482                  Introductory Veterinary Surgery                                                 3
VSR    484                  Veterinary Anaesthesiology                                                          2
VOR   472                  Veterinary Gynaecology                                                                 3
VPH    521                  Zoonosis and Environmental Health                                            2
VPH    523                  Meat, Milk and Fish Hygiene                                                         2
VPH    525                  Epidemiology & Veterinary Economics                                      2
VPH    527                  Biostatistics & Computer Application                                         2
VPH    529                  Veterinary Preventive Medicine & Jurisprudence                   2
AHP    531                  Swine & Poultry Health Managt and Monogastrics                 2
VMD   561                  Equine Medicine                                                                             2
VMD   563                  Porcine Medicine                                                                            2
VOR   571                  Andrology& Artificial Insemination                                             2
VOR   573                  Obstetrics, Udder Health Management, Mastitis & Neonatal Diseases                                                                                                                3
VSR    581                  Large Animal Surgery                                                                    2
VMD   562                  Ruminant Medicine                                                                   3
VMD   564                  Small Animal Medicine                                                            2
VMD   566                  Avian Medicine                                                                          2
VMD   568                  Aquatic, Laboratory and Wildlife Medicine                        2
VSR    582                  Veterinary Radiology, Tomogr. & Ultrasonography          4
VSR    584                  Small Animal Surgery                                                              3
VSR    586                  Orthopaedics and Lameness                                                  3
VAN   502                  Applied Anatomy                                                                      2
VPP     611                  Veterinary Clinical Pharmacology & Toxicology                   1
VPE    651                  Veterinary Clinical Parasitology                                               1
FVM   691                  Clinics I                                                                                        20
FVM   693                  Project I                                                                                        3
VPM   641                  Veterinary Clinical Pathology (Haematology & Clinical Biochemistry, & Cytology)                                                                             2
VOR   671                  Theriogenology Clinics                                                              1
FVM   692                  Clinics II                                                                                 20
FVM   694                  Project II                                                                                 3
CHM   101                  Basic Principles of Chemistry I                                              2
CHM   171                  Basic Practical Chemistry                                                       2
PHY    101                  General Physics for Life Sciences I                                        2
PHY    191                  Practical Physics                                                                        2
BIO     151                  General Biology I                                                                       3
MTH   111                  Elementary Mathematics I                                                      3
GSP     101                  The Use of English I                                                                  2
GSP     103                  Social Sciences I                                                                        2
AGR   201                  Introduction to Agriculture                                                    3
FVM   192                  Basics to Veterinary Medicine                                                2
CHM   112                  Basic Principles of Chemistry II                                             2
CHM   122                  Basic Principles of Chemistry III                                           2
BIO     152                  General Biology II                                                                     3
BIO     153                  General Biology (Practical)                                                     2
PHY    102                  General Physics for Life Sciences II                                      2
PHY    103                  General Physics for Life Sciences III                                     2
GSP     102                  The Use of English II                                                               2
GSP     104                  Social Sciences II                                                                      2
VAN   201                  Introductory Veterinary Anatomy                                                     5
VPP     211                  Introductory Physiology, Blood, Cardiovascular Respiratory Systems and Comparative Physiology of Gastro-intestinal tract                                                                                                           5
VPP     213                  Introductory Veterinary Biochemistry                                              4
GSP     101                  Use of English I (Direct Entry Students)                                           2
GSP     207                  Humanities I                                                                                           2
COS    101                  Introduction to Computer Science                                                      2
VAN   202                  Basic Splanchnology                                                                          6
VAN   204                  Veterinary Embryology                                                                     4
VPP     214                  General Veterinary Biochemistry                                                   4
VPP     212                  Neuromuscular Systems, Sense Organs, and Environmental Physiology                                                                                                     4
GSP     102                  The Use of English II (Direct Entry Students)                             2
GSP     208                  Humanities II                                                                                     2
VAN   301                  Veterinary Histology                                                                         4
VPP     311                  Veterinary Biochemistry of body fluid                                         4
VPP     313                  Renal Function and Body fluid, Reproduction and Endocrinology                                                                                                                        4
AHP    331                  General Principles of Animal Production, Genetics and Breeding                                                                                                                          3
AGE    201                  Principles of Agricultural Economics (DE)                                 4
BED    101                  Elements of business                                                                        2
VPP     312                  General Veterinary Pharmacology                                                 3
AHP    332                  Principles of Animal Nutrition in Health                                    3
VPM   342                  General Veterinary Microbiology                                                 3
VPE    352                  Veterinary Helminthology 1                                                           3
VPM   344                  General Veterinary Pathology                                                       5
VPM   346                  General Veterinary                                                                         2
VPP     411                  Systemic Veterinary Pharmacology                                               2
AHP   431                 Small Ruminant and Micro livestock Health & Management                                                                                                                          3
VPM   441                  Veterinary                                                                                           2
VPM   443                  Veterinary Mycology                                                                        2
VPM   445                  Veterinary Virology                                                                         2
VPE    451                  Veterinary Helminthology II                                                         4
VPE    453                  Veterinary Entomology                                                                  2
VPE    455                  Veterinary Protozoology                                                                2
VPM   447                  Pathology of the Haematopoietic, Cardiovascular, Respiratory and Sensory Systems                                                                                   2
VPE    457                  Parasitic Immunology                                                                   2
VPP     412                  Veterinary Chemotherapy                                                                2
VPP     414                  Veterinary Toxicology                                                                       2
AHP   432                              Large Ruminant Health & Management                          2
VPM   442                  Pathology of the Digestive and Urinogenital systems               2
VPM   444                  Pathology of the Integumentary, Musculoskeletal, and Nervous Systems                                                                                                                     2
VPM   446                  Pathology of Bacterial, Viral, and, Poultry diseases                  2
VPM   448                  Pathology of Fungal, Protozoan, Parasitic, Nutritional, Metabolic and Endocrine Diseases                                                                                    2
VMD   462                  Introduction to Medicine/Diagnostic                                        2
VSR    482                  Introductory Veterinary Surgery                                                 3
VSR    484                  Veterinary Anaesthesiology                                                          2
VOR   472                  Veterinary Gynaecology                                                                 3
VPH    521                  Zoonosis and Environmental Health                                            2
VPH    523                  Meat, Milk and Fish Hygiene                                                         2
VPH    525                  Epidemiology & Veterinary Economics                                      2
VPH    527                  Biostatistics & Computer Application                                         2
VPH    529                  Veterinary Preventive Medicine & Jurisprudence                   2
AHP    531                  Swine & Poultry Health Managt and Monogastrics                 2
VMD   561                  Equine Medicine                                                                             2
VMD   563                  Porcine Medicine                                                                            2
VOR   571                  Andrology& Artificial Insemination                                             2
VOR   573                  Obstetrics, Udder Health Management, Mastitis & Neonatal Diseases                                                                                                                3
VSR    581                  Large Animal Surgery                                                                    2
VMD   562                  Ruminant Medicine                                                                   3
VMD   564                  Small Animal Medicine                                                            2
VMD   566                  Avian Medicine                                                                          2
VMD   568                  Aquatic, Laboratory and Wildlife Medicine                        2
VSR    582                  Veterinary Radiology, Tomogr. & Ultrasonography          4
VSR    584                  Small Animal Surgery                                                              3
VSR    586                  Orthopaedics and Lameness                                                  3
VAN   502                  Applied Anatomy                                                                      2
VPP     611                  Veterinary Clinical Pharmacology & Toxicology                   1
VPE    651                  Veterinary Clinical Parasitology                                               1
FVM   691                  Clinics I                                                                                        20
FVM   693                  Project I                                                                                        3
VPM   641                  Veterinary Clinical Pathology (Haematology& Clinical Biochemistry, & Cytology)                                                                             2
VOR   671                  Theriogenology Clinics                                                              1
FVM   692                  Clinics II                                                                                 20
FVM   694                  Project II                                                                                 3
CHM   101                  Basic Principles of Chemistry I                                              2
CHM   171                  Basic Practical Chemistry                                                        2
PHY    101                  General Physics for Life Sciences I                                        2
PHY    191                  Practical Physics                                                                        2
BIO     151                  General Biology I                                                                       3
MTH   111                  Elementary Mathematics I                                                      3
GSP     101                  The Use of English I                                                                  2
GSP     103                  Social Sciences I                                                                        2
AGR   201                  Introduction to Agriculture                                                     3
FVM   192                  Basics to Veterinary Medicine                                                2
CHM   112                  Basic Principles of Chemistry II                                             2
CHM   122                  Basic Principles of Chemistry III                                           2
BIO     152                  General Biology II                                                                     3
BIO     153                  General Biology (Practical)                                                     2
PHY    102                  General Physics for Life Sciences II                                      2
PHY    103                  General Physics for Life Sciences III                                     2
GSP     102                  The Use of English II                                                               2
GSP     104                  Social Sciences II                                                                      2
VAN   201                  Introductory Veterinary Anatomy                                                     5
VPP     211                  Introductory Physiology, Blood, Cardiovascular Respiratory Systems and Comparative Physiology of Gastro-intestinal tract                                                                                                          5
VPP     213                  Introductory Veterinary Biochemistry                                             4
GSP     101                  Use of English I (Direct Entry Students)                                         2
GSP     207                  Humanities I                                                                                         2
COS    101                  Introduction to Computer Science                                                    2
VAN   202                  Basic Splanchnology                                                                          6
VAN   204                  Veterinary Embryology                                                                     4
VPP     214                  General Veterinary Biochemistry                                                   4
VPP     212                  Neuromuscular Systems, Sense Organs, and Environmental Physiology                                                                                                    4
GSP     102                  The Use of English II (Direct Entry Students)                           2
GSP     208                  Humanities II                                                                                   2
VAN   301                  Veterinary Histology                                                                           4
VPP     311                  Veterinary Biochemistry of body fluid                                           4
VPP     313                  Renal Function and Body fluid, Reproduction and Endocrinology                                                                                                                         4
AHP    331                  General Principles of Animal Production, Genetics and Breeding                                                                                                                           3
AGE    201                  Principles of Agricultural Economics (DE)                                 4
BED    101                  Elements of business                                                                        2
VPP     312                  General Veterinary Pharmacology                                                  3
AHP    332                  Principles of Animal Nutrition in Health                                     3
VPM   342                  General Veterinary Microbiology                                                   3
VPE    352                  Veterinary Helminthology 1                                                             3
VPM   344                  General Veterinary Pathology                                                         5
VPM   346                  General Veterinary                                                                           2
VPP     411                  Systemic Veterinary Pharmacology                                               2
AHP   431                 Small Ruminant and Micro livestock Health & Management                                                                                                                            3
VPM   441                  Veterinary                                                                                           2
VPM   443                  Veterinary Mycology                                                                        2
VPM   445                  Veterinary Virology                                                                         2
VPE    451                  Veterinary Helminthology II                                                         4
VPE    453                  Veterinary Entomology                                                                  2
VPE    455                  Veterinary Protozoology                                                                2
VPM   447                  Pathology of the Haematopoietic, Cardiovascular, Respiratory and Sensory Systems                                                                                   2
VPE    457                  Parasitic Immunology                                                                   2
VPP     412                  Veterinary Chemotherapy                                                                2
VPP     414                  Veterinary Toxicology                                                                       2
AHP   432                              Large Ruminant Health & Management                          2
VPM   442                  Pathology of the Digestive and Urinogenital systems               2
VPM   444                  Pathology of the Integumentary, Musculoskeletal, and Nervous Systems                                                                                                                   2
VPM   446                  Pathology of Bacterial, Viral, and, Poultry diseases                 2
VPM   448                  Pathology of Fungal, Protozoan, Parasitic, Nutritional, Metabolic and Endocrine Diseases                                                                                  2
VMD   462                  Introduction to Medicine/Diagnostic                                        2
VSR    482                  Introductory Veterinary Surgery                                                 3
VSR    484                  Veterinary Anaesthesiology                                                          2
VOR   472                  Veterinary Gynaecology                                                                 3
VPH    521                  Zoonosis and Environmental Health                                            2
VPH    523                  Meat, Milk and Fish Hygiene                                                         2
VPH    525                  Epidemiology & Veterinary Economics                                      2
VPH    527                  Biostatistics & Computer Application                                         2
VPH    529                  Veterinary Preventive Medicine & Jurisprudence                   2
AHP    531                  Swine & Poultry Health Managt and Monogastrics                 2
VMD   561                  Equine Medicine                                                                             2
VMD   563                  Porcine Medicine                                                                            2
VOR   571                  Andrology& Artificial Insemination                                             2
VOR   573                  Obstetrics, Udder Health Management, Mastitis & Neonatal Diseases                                                                                                               3
VSR    581                  Large Animal Surgery                                                                    2
VMD   562                  Ruminant Medicine                                                                   3
VMD   564                  Small Animal Medicine                                                            2
VMD   566                  Avian Medicine                                                                          2
VMD   568                  Aquatic, Laboratory and Wildlife Medicine                        2
VSR    582                  Veterinary Radiology, Tomogr. & Ultrasonography          4
VSR    584                  Small Animal Surgery                                                              3
VSR    586                  Orthopaedics and Lameness                                                  3
VAN   502                  Applied Anatomy                                                                      2
VPP     611                  Veterinary Clinical Pharmacology & Toxicology                   1
VPE    651                  Veterinary Clinical Parasitology                                               1
FVM   691                  Clinics I                                                                                        20
FVM   693                  Project I                                                                                        3
VPM   641                  Veterinary Clinical Pathology (Haematology& Clinical Biochemistry, & Cytology)                                                                             2
VOR   671                  Theriogenology Clinics                                                              1
FVM   692                  Clinics II                                                                                 20
FVM   694                  Project II                                                                                 3
URP 101 Basic Elements of Planning                                        3
ARC 121 Architectural Graphics I                                             2
GEO 103 Fundamentals of Human Geography I                       2
MTH 111 Elementary Mathematics I                                        3
PSC 101 Introduction to Political Science I                              2
SOC 101 Introduction to Sociology                                          2
ECO 101 Principles of Economics I                                          2
MAN 141 Elements of Business Economics I                            3
GSP 101 The Use of English I                                                    2
GSP 105 Natural Science I                                                        2
GSP 111 Use of Library                                                             2
URP 102 Nature of Environmental Sciences                             2
URP 112 Urban Development Planning                                    3
URP 114 History of Cities & Planning                                       3
URP 116 Population and Urbanization Studies                         2
URP 152 Urban Planning Studio I                                             3
GEO 212 Geomorphological Processes and Forms                   2
GSP 102 The Use of English II                                                  2
GSP 106 Natural Science II                                                      2
URP 241 Site Selection, Planning & Design I                        2
ARC 233 Introduction to Architectural Design I                    3
ARC 261 Building Components & Methods I                         2
COS 101 Introduction to Computer Science                          2
ESM 211 Land Economics I                                                    2
MTH 121 Elementary Mathematics II                                    3
STA 201 Statistics for Social Sciences I                                 2
SVY (GSV) 201 Basic Land Surveying I                                  2
GSP 207 Humanities I                                                             2
URP 222 Housing Process I 2
URP 232 Quantitative Techniques & Research in Planning   3
URP 252 Urban Planning Studio II                                         3
URP 262 Planning Law                                                           2
Required Ancillary Courses
ARC 202 Introduction to Measurements & Description        2
ARC 262 Building Components & Methods II                       2
ESM 212 Land Economics II                                                 2
SVY(GSV) 202 Basic Land Surveying II                                2
 
GSP 208 Humanities II                                                         2
GSP 202 Peace and Conflict Resolution                              2
URP 310 Fundamentals of Urban & Regional Planning  2 *
URP 311 Rural Development Planning                            2
URP 321 Housing Process II                                            2
URP 323 Land use& Resources Planning Theory            2
URP 325 Traffic & Transportation Planning Theory I      2
URP 331 Computer Applications in Planning                   2
URP 351 Urban Planning Studio III                                 3
URP 371 Natural Resources & Environmental Planning 2
ESM 363 Property Valuation                                            2
ARC 515 Design Economics & Cost Planning                  2
LAW 335 Principles of Nigerian Land Law I                    2
PHL 101 Introduction to Philosophy                                2
PSY 101 Principles of Psychology                                    2
CED 341 Introduction to Entrepreneurship                     2
URP 312 Regional Development Planning 2
URP 324 Industrial Development Planning & Urban Economics 2
URP 326 Traffic & Transportation Planning II                             2
URP 332 Project Planning & Evaluation                                      3
URP 342 Landscape Planning and Design                                   3
URP 352 Urban Planning Studio IV                                             3
URP 382 Research Methods in Urban & Regional Planning       2
CED 342 Introduction to Entrepreneurship                                2
CE 552 Highway Engineering                                                    3
LAW 336 Principles of Nigerian Land Law II                             2.3/4
STA 204 Statistics for Social Sciences II                                   2
URP 421 Public Utilities & Services                             2
URP 431 Urban Renewal Techniques                           3
URP 441 Urban Design Theory                                     2
URP 443 Site Selection, Planning and Design II           2
URP 451 Urban Planning Studio V                                3
URP 461 Management and Planning                             2
LAW 243 Principles of law of Contract and Tort I         3
MAN 200 Theory and Techniques of Administrative Management                                                                3
MAN 430 Introduction to Operations Research          2.2/3
PSY 101 Principles of Psychology                                2
URP 471 Pollution and Control Measures                   3
URP 462 Students’ Industrial Work Experience Scheme (SIWES) 15
URP 511 Advanced Planning Theory and Process                     3
URP 513 Advanced Regional Planning Theory                          3
URP 551 Regional Planning Studio                                           3
URP 561 Professional Practice I                                               2
URP 581 Independent Study Report on Nigeria                       2
URP 521 Advanced Housing Studies                                      3
URP 523 Tourism Planning and Development                        3
URP 541 Advanced Landscaping Design 3                             6
URP 543 Preservation and Conservation                               3
URP 522 Recreation Planning                                                      2
URP 532 Environmental Impact Assessment                     3
URP 552 Urban Planning Studio VI                                   3
URP 562 Professional Practice II                                       2
URP 564 Planning Control and Administration                 2
URP 582 Seminar                                                              2
URP 592 Project                                                                6
 
URP 524 Advanced Traffic& Transportation Planning     3
URP 544 Advanced Urban Design Theory & Practice   3
URP 572 Urban Planning & Social Service Systems       3
SSL	101	Introduction to Land and Soil Resources	2
CAB	161	Introduction to Agro-Biotechnology 	2
AEX	101	Philosophy and Principles of Agricultural Extension 2
AFC	101	Introduction to Agricultural Economics I 	2
ANS	101	Introduction to Animal Science and Animal Genetics 	2 
AGR	101	Biomathematics	2
CHEM	101	Basic Principles of Chemistry I	2
CHEM	171	Basic Practical Chemistry	2
BIO	151	General Biology I	3
MTH	111	El ementary Mathematics I	3
GSP	101	Use of English I	2
